gene,tissue,logFC,adj_p_value
1060P11.3///KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1,Lungs,0.6375991,1.16e-08
1060P11.3///KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL4///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1,Lungs,0.62200544,7.17e-13
AADACL2-AS1,Lungs,1.7176996,0.0289
AAR2,Lungs,0.9010995,3.05e-14
AARS2,Lungs,-0.66422803,0.000312
ABALON,Lungs,-0.6892818,0.000535
ABCA11P,Lungs,-1.4926764,5.81e-16
ABCA11P///ZNF141,Lungs,-0.9268791,3.61e-07
ABCB7,Lungs,-0.8563355,6e-10
ABCC5-AS1,Lungs,2.124141,0.000931
ABCC6P2///ABCC6P1///ABCC6,Lungs,0.7515995,1.3e-13
ABCD1,Lungs,0.8721977,2.98e-11
ABCF1,Lungs,-0.598948,1.09e-06
ABHD4,Lungs,0.725585,1.13e-12
ACAD11,Lungs,0.7093514,0.000684
ACBD6,Lungs,-0.979805,1.54e-15
ACOT13,Lungs,1.25117,1.37e-17
ACP5,Lungs,-1.2241361,0.00253
ACPP,Lungs,0.71502302,2.41e-20
ACTG1P4,Lungs,1.0663335,0.00175
ACTMAP,Lungs,-0.9128008,1.88e-05
ADAL,Lungs,-0.9084214,2.12e-10
ADAMTS8,Lungs,0.70582312,1.72e-19
ADAP1,Lungs,1.0392841,1.56e-13
ADARB2,Lungs,0.6872009,1.45e-11
ADCY4,Lungs,1.5163786,8.04e-14
ADGRB3,Lungs,0.6887675,0.000216
ADGRD1-AS1,Lungs,-1.3946133,5.64e-05
ADGRG3,Lungs,1.13033954,6.47e-30
ADH5///ADH5,Lungs,-0.8670064,1.12e-11
ADIPOR2,Lungs,0.91647076,4.27e-35
ADORA2B,Lungs,1.1112255,0.000227
ADRM1,Lungs,1.1749441,8.05e-13
AFDN,Lungs,-0.7259255,6.87e-06
AGAP1-IT1,Lungs,-0.6357618,0.0167
AGAP10P,Lungs,0.7617208,0.0107
AGAP11,Lungs,-0.6613547,0.00201
AGAP12P,Lungs,1.1005827,0.00625
AGBL1,Lungs,1.2809377,3.96e-06
AGRP,Lungs,1.0071336,2.27e-11
AHCTF1P1///AHCTF1,Lungs,-1.8757395,1.26e-16
AHCYL2,Lungs,-0.7903679,0.00392
AHI1-DT,Lungs,1.0880455,0.0397
AK4,Lungs,-0.7550277,9.72e-07
AKAP10,Lungs,-0.8837436,5.45e-15
AKR1E2,Lungs,0.7985073,1.65e-09
AKR7A2,Lungs,0.8125514,8.11e-12
ALDH3B1,Lungs,1.0540164,6.04e-09
ALDH7A1,Lungs,-1.3536373,1.08e-13
ALDOAP2,Lungs,0.5976777,2.7e-08
ALG11///UTP14C,Lungs,-1.6108705,3.5e-14
ALG1L1P,Lungs,1.216984,0.000177
ALKBH3-AS1,Lungs,1.2275505,0.00185
ALKBH5,Lungs,0.7258168,1.36e-10
ALKBH8,Lungs,-1.4532573,2.87e-15
ALS2CR11,Lungs,0.6219109,1.31e-05
AMIGO1,Lungs,0.7077032,2.95e-11
AMY2B///AMY2A///AMY1C///AMY1B///AMY1A,Lungs,-2.1052082,7.34e-12
ANAPC11,Lungs,0.62408,3.96e-06
ANAPC15,Lungs,0.9260668,1.9e-13
ANAPC1P1///ANAPC1,Lungs,-1.1326018,3.94e-12
ANAPC1P1///LOC285074///ANAPC1,Lungs,-0.8145636,8.48e-11
ANAPC1P4,Lungs,0.7621859,0.00388
ANKHD1-EIF4EBP3///ANKHD1///EIF4EBP3///ANKHD1-EIF4EBP3///ANKHD1///EIF4EBP3,Lungs,-0.7817818,5.24e-11
ANKRD10-IT1,Lungs,-0.65297083,0.0461
ANKRD16,Lungs,0.5965232,1.13e-09
ANKRD18B,Lungs,-0.98350786,2.34e-12
ANKRD18CP,Lungs,0.9584415,0.046
ANKRD20A1,Lungs,-0.8026084,0.0133
ANKRD20A21P,Lungs,-0.8504098,0.0421
ANKRD20A21P///ANKRD20A8P///ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A5P///ANKRD20A1,Lungs,-0.7792873,4.82e-07
ANKRD20A3P,Lungs,-0.9699856,0.00289
ANKRD20A8P///ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A5P///ANKRD20A1,Lungs,-1.5501314,1.54e-10
ANKRD20A9P,Lungs,0.9701489,0.0394
ANKRD36///ANKRD36B,Lungs,-0.72899838,8.65e-17
ANKRD36BP1,Lungs,0.8270445,3.7e-08
ANKRD36BP2///ANKRD36///ANKRD36B,Lungs,-0.80624283,7.35e-17
ANKRD36BP2///ANKRD36C///ANKRD36///ANKRD36B,Lungs,-1.0068693,3.25e-24
ANKRD36C,Lungs,0.9681502,0.000451
ANKRD39,Lungs,0.7347959,1e-12
ANKRD40,Lungs,0.6786127,1.24e-11
ANKRD44-AS1,Lungs,1.0022675,0.0175
ANKRD66,Lungs,1.6246875,0.0422
ANP32E,Lungs,-1.8131405,7.04e-21
ANTXRLP1,Lungs,1.1764431,0.00882
ANXA2R-AS1,Lungs,0.7375061,0.00877
ANXA2R-OT1,Lungs,0.6785016,0.0116
AP1M1,Lungs,1.0028241,7.96e-14
