bit_mask,count,n_tissues_shared,present_in,absent_in,genes
0110,149,2,"Kidney,Liver","Skin,Lungs","ADAM18, ADAM30, ADAMTS17, ADAMTS20, ADAMTSL5, AMBP, AMELX, AMELY, ANXA1, ANXA11, ANXA2, ANXA4, ANXA7, BDNF, BMP3, BMP8B, BMPER, BRINP2, C17ORF58, C1QL2, C1QL3, CCL20, CCL22, CCL23, CCL3L3, CCL4L2, CELA1, CELA2A, CELA2B, CLEC12A, CLEC12B, CLEC18A, CLEC1A, CLEC2B, CLEC4C, CLEC7A, COL21A1, COL27A1, CPN2, CST1, CST11, CST9L, CSTB, CSTL1, CTSO, CXCL5, DSPP, EGFL8, EGLN1, EMID1, F7, F9, FGF1, FGF2, FGF20, FGF23, FNDC7, GPC5, HAPLN2, HPSE, HRG, HYAL3, IBSP, IFNA2, IFNA8, IFNB1, IFNK, IGFALS, IGFBPL1, IL16, IL18, IL26, IL3, IL9, IMPG1, INSL6, LAMA1, LAMB4, LAMC1, LAMC2, LGI4, LPA, MASP1, MEGF10, MFGE8, MMP14, MST1L, MSTN, MUC13, MUC17, MUC2, MUC6, NTF3, NTF4, NTN4, NTN5, NYX, OIT3, OTOL1, P3H1, P4HA2, PCSK6, PF4V1, PLG, PLOD3, PLXNA4, PODN, PRSS1, PRSS3, REG3A, REG3G, RELN, S100A7A, SCUBE2, SCUBE3, SEMA4B, SEMA6C, SERPINA10, SERPINA11, SERPINA4, SERPINA6, SERPINA7, SERPINA9, SERPINB10, SERPINB8, SERPINE3, SFTPB, SMOC1, SPAM1, SPOCK1, SPON2, ST14, TECTA, TGFBI, TGM5, TGM7, THBS3, THSD4, TINAGL1, TMPRSS15, TNFSF15, TPO, VWA5B1, VWC2L, WFIKKN2, WNT3, WNT5A, ZP1, ZP4"
0111,133,3,"Kidney,Liver,Lungs",Skin,"ADAM10, ADAM15, ADAM28, ADAM9, ADAMTS1, ADAMTS15, ADAMTSL1, ADAMTSL3, ANXA3, ANXA5, BMP2, C1QTNF1, CBLN4, CLEC11A, CLEC14A, CLEC1B, CLEC4M, COL16A1, COL17A1, COL25A1, COL5A3, COL7A1, COLEC12, COLQ, CRIM1, CRISPLD1, CRLF1, CRLF3, CSF3, CST3, CST6, CST7, CTSD, CTSK, CTSW, CXCL12, CXCL6, CXCL8, EFEMP2, EGLN3, FBN3, FCN3, FGA, FGF11, FGF12, FGF9, FGG, FGL2, FRAS1, FREM1, FRZB, GAS6, GLDN, GPC3, GPC4, HBEGF, HCFC2, HGF, HYAL1, IGSF10, IL11, IL23A, IL24, ITIH5, ITLN1, ITLN2, KAZALD1, LAMA2, LAMB1, LGALS1, LGALS3, LGALS8, LIF, LMAN1, LTBP1, LTBP4, MATN2, MEGF6, MEGF9, MEPE, MFAP1, MGP, MMP10, MMP25, MMP28, MMP7, MMP8, MUC20, NRG3, NTNG1, OGFOD1, PDGFA, PDGFC, PIK3IP1, PLAT, PLAU, PLXDC1, PTN, PZP, RSPO2, S100A10, S100A12, S100A13, S100A16, S100A2, S100A4, SEMA3A, SEMA3G, SEMA4C, SEMA5A, SERPINA3, SERPINB2, SERPIND1, SERPING1, SFRP5, SFTA3, SFTPA1, SLIT2, SLPI, SPOCK2, TGFB1, THBS2, TIMP2, TNF, TNFSF12, TNXB, VEGFA, VEGFB, VEGFC, VIT, VWA1, WNT11, WNT3A"
0010,105,1,Liver,"Skin,Kidney,Lungs","A2ML1, ADAM33, ADAM8, ADAMTS10, ADAMTS7, AGT, AMBN, ANGPT4, ANXA13, ANXA8, ANXA8L1, ANXA9, ARTN, BMP15, BSPH1, C1QL4, C1QTNF4, C1QTNF8, C1QTNF9B, CBLN2, CCL15, CCL17, CCL7, CCN6, CFC1, CLEC18B, CLEC4F, COL18A1, COL20A1, COL23A1, COL28A1, COL9A1, COL9A2, CRELD2, CRHBP, CRNN, CSH2, CSHL1, CST2, DHH, EGFL7, EGFLAM, ELFN2, EMILIN3, F2, FAM20A, FGF17, FGF21, FGF8, FGL1, FREM2, FST, GDF1, GDF2, GDF3, GPC6, HGFAC, HMSD, HSPG2, IFNA1, IFNA5, IGFBP1, IL15, IL17C, IL17D, IL17F, IL1F10, INHBE, INSL3, ISM2, ITIH1, ITIH6, KY, LGI1, LOXL4, MASP2, MEGF11, MUC21, NCAN, NRG1, NTN3, OGFOD2, OMD, P4HTM, PAPLN, POMZP3, PXDNL, S100A14, S100A5, SBSPON, SDC1, SEMA4F, SERPINA12, SFTPC, TCHHL1, TGM6, THPO, TINAG, VWA2, VWA7, VWC2, VWDE, WNT1, WNT2B, WNT5B"
0100,99,1,Kidney,"Skin,Liver,Lungs","ADAM22, ADAM23, ADAMTS13, ADAMTS19, AGRN, AMH, ANXA6, ASTL, BGLAP, BMP8A, CBLN1, CDCP2, CELA3B, CLEC2L, CLEC3A, CLEC4A, CNTF, COL2A1, CRELD1, CSF2, CSH1, CSPG4, CSPG5, CST8, CST9, CSTA, CTSV, DMP1, EDIL3, ELSPBP1, EYS, F13B, FAM20B, FGB, FGF19, FGF22, FGF5, FGFBP3, FLG, GH2, HABP2, HAPLN4, HTRA1, IFNA10, IFNA16, IFNA6, IFNW1, IL12B, IL19, IL2, IL20, IL5, IL7, INHA, INS, ITIH4, KNG1, LGALS13, LGALS16, LGALS9C, MEP1A, MEP1B, MFAP5, MMP26, MST1, MUC12, MUC22, MUC5AC, NDNF, NODAL, P4HA1, PLXNB2, PODNL1, PRG2, REG1B, REG4, RPTN, S100G, S100P, SDC2, SERPINB11, SERPINB12, SERPINB6, SLIT1, SNED1, SSPO, TECTB, TGM1, TGM4, TLL1, TNFSF8, TSPEAR, VWA5B2, WFIKKN1, WNT8A, WNT8B, ZFP91, ZP2, ZPLD1"
1111,98,4,"Skin,Kidney,Liver,Lungs",(none),"ADAMTS3, ADAMTS4, ADAMTS5, ADAMTS9, AEBP1, ANGPT1, ASPN, BGN, BMP1, C1QB, C1QC, CCL18, CCL19, CCL2, CCL21, CCL4, CCL5, CCN2, COL15A1, COL1A1, COL1A2, COL3A1, COL4A1, COL4A2, COL5A2, COL6A3, COLEC10, COLEC11, COMP, CRISPLD2, CTSE, CTSS, CTSZ, CXCL3, CXCL9, DCN, EFEMP1, F13A1, FBN1, FGF10, FGF14, FGF7, FGFBP2, FMOD, FSTL1, GDF15, IGF1, IGFBP5, IL1A, LAMC3, LEFTY2, LEP, LTB, LTBP2, LUM, MATN3, MDK, MFAP4, MMP11, MMP12, MUC4, NID1, PCOLCE2, PDGFD, PLOD2, PLXNA3, PLXND1, POSTN, PRELP, PRG4, PRSS12, S100A6, SDC3, SEMA3E, SEMA6A, SEMA7A, SERPINE1, SERPINE2, SERPINF2, SERPINH1, SFRP4, SPARCL1, SPP1, SRPX, SVEP1, TGFB2, TGFB3, TGM2, THBS1, TIMP1, TIMP4, TNC, TNFAIP6, VCAN, VWF, WIF1, WNT10B, WNT2"
0011,72,2,"Liver,Lungs","Skin,Kidney","ADAMTS14, ANGPTL3, ANGPTL4, AREG, BMP4, BRINP3, C1QTNF3, CCL14, CCL16, CCL28, CD109, CHRDL1, CLCF1, CLEC17A, CLEC4E, CLEC6A, COL13A1, COL19A1, COL22A1, COL4A6, CPAMD8, CTSA, CTSG, CTSH, CXCL14, EGLN2, EMCN, FAM20C, FBLN2, FGF18, FSTL3, GPC1, HMCN2, IFNE, IFNG, IL13, IL1B, IL34, INHBB, ISM1, LAMA4, LAMB2, LGALS7, LGI3, LOX, LTA, MMP23B, MMP24, MUCL1, MXRA5, NELL2, NPNT, P3H3, PDGFB, PLXNA1, PLXNC1, RSPO1, RSPO4, S100A3, SDC4, SEMA3C, SEMA4A, SEMA4D, SEMA6D, SFTA2, SFTPD, SHH, TIMP3, TNFSF13, TNFSF14, TNR, WNT10A"
1110,61,3,"Skin,Kidney,Liver",Lungs,"A2M, ADAM2, ADAMTS18, ADIPOQ, ANGPTL5, C1QA, CCL24, CLEC9A, COL11A1, COL5A1, COL6A1, COL6A2, CTSC, CXCL1, DPT, ECM1, EGF, EMILIN1, EPO, FBLN1, FBLN5, FCN1, FGF13, FGF3, FN1, GDF6, GDNF, HTRA4, IGFBP2, IGFBP3, IGFBP4, IGFBP6, IL10, IL12A, IL17B, IL1RN, INHBC, ITIH2, LAMA5, LEFTY1, LOXL1, MBL2, MMP2, MMP20, NELL1, NID2, PCOLCE, PGF, REG1A, S100A1, S100A11, SERPINA5, SERPINB9, SFRP1, SPARC, SPON1, SRGN, TGM3, TLL2, TNFSF18, WNT6"
1011,48,3,"Skin,Liver,Lungs",Kidney,"ACAN, ADAMDEC1, ADAMTSL2, C1QTNF5, CCBE1, CCN1, CCN4, CHRDL2, CILP, CLEC3B, COL12A1, COL14A1, COL4A3, COL4A4, COL8A1, CTSF, CTSL, CXCL10, CXCL11, CXCL2, EBI3, ECM2, ELFN1, ELN, FLT3LG, FNDC1, HAPLN3, HTRA3, IGFBP7, IL6, LGALS2, LGALS4, LGALS9, LGI2, MEGF8, MMP19, MMP9, OGN, S100A8, S100A9, SEMA3B, SERPINB3, SLIT3, SMOC2, THBS4, TNFSF13B, VWCE, XCL1"
0001,39,1,Lungs,"Skin,Kidney,Liver","ADAMTS8, BMP7, C1QTNF2, CCL11, CCL26, CLEC4D, COL6A5, COL9A3, CTF1, DMBT1, EDA, F10, FBLN7, FGFBP1, FIGF, GDF5, GREM1, GRIFIN, HRNR, HYAL2, IHH, IMPG2, KITLG, MFAP3, MMP15, MMRN2, MUC1, NRG4, PLOD1, PLXNA2, SERPINA2, SERPINI1, SFRP2, SPOCK3, TNFSF9, VWA3A, VWA5A, XCL2, ZP3"
0101,38,2,"Kidney,Lungs","Skin,Liver","ABI3BP, ADAM17, ADAM29, ADAMTSL4, ANGPTL1, ANGPTL7, CLC, CLEC5A, CSF1, CX3CL1, EMILIN2, EREG, GDF10, HCFC1, HHIP, LAMA3, LAMB3, MFAP2, MMP16, MUC15, MUC5B, NGLY1, P3H2, PAMR1, PAPPA2, PRSS2, SEMA5B, SERPINB1, SERPINB5, SERPINI2, SFTPA2, SRPX2, TNFSF10, TSKU, VWA3B, VWA9, WNT7B, WNT9A"
