bit_mask,count,n_tissues_shared,present_in,absent_in,sample_genes
0010,4335,1,Liver,"Skin,Kidney,Lungs","---, A1BG, A2ML1, A2MP1, A3GALT2, A4GALT, AADACP1, AAMP, ABAT, ABCA7"
0001,3422,1,Lungs,"Skin,Kidney,Liver","1060P11.3///KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1, 1060P11.3///KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL4///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1, AADACL2-AS1, AAMDC, AAR2, AARS2, ABALON, ABCA11P, ABCA11P///ZNF141, ABCB4"
0100,3230,1,Kidney,"Skin,Liver,Lungs","AAK1, ABCA1, ABCC10, ABCC12, ABCC3, ABCC4, ABHD17C, ABHD3, ABHD5, ABLIM1"
0110,3020,2,"Kidney,Liver","Skin,Lungs","A1CF, A4GNT, AADAC, AADACL2, AATK, ABCA12, ABCA9, ABCC11, ABCC6, ABCG1"
0111,2503,3,"Kidney,Liver,Lungs",Skin,"AASDHPPT, AASS, ABCA10, ABCA3, ABCA4, ABCA5, ABCB8, ABCC13, ABCC8, ABCC9"
0101,1908,2,"Kidney,Lungs","Skin,Liver","AADAT, AAED1, AAGAB, AARD, AASDH, ABCB1, ABCC5, ABHD11, ABI3BP, ABO"
0011,1865,2,"Liver,Lungs","Skin,Kidney","A1BG-AS1, ABCA13, ABCA8, ABCC2, ABCD1, ABCF1, ABHD16A, ABHD17A, ABRA, ABTB3"
1111,548,4,"Skin,Kidney,Liver,Lungs",(none),"ABCA2, ABCA6, ABR, ACADM, ACSS3, ACTG2, ACVRL1, ADAM12, ADAM19, ADAMTS3"
1000,500,1,Skin,"Kidney,Liver,Lungs","A2M-AS1, AAAS, AACSP1, ACSM1, ACSM4, ACTN3, ADAM20, ADAMTS12, ADGRB1, ADGRL3"
1110,495,3,"Skin,Kidney,Liver",Lungs,"A2M, ABCB5, ABHD17B, ACTR3B, ADA2, ADAM2, ADAMTS18, ADGRF5, ADIPOQ, AFM"
1010,412,2,"Skin,Liver","Kidney,Lungs","ABHD8, ACTL7A, ACVR1C, ADAMTS16, ADAMTS2, ADCYAP1, ADGRL4, AGPAT3, AHR, AKR1B15"
1011,392,3,"Skin,Liver,Lungs",Kidney,"ACADS, ACADSB, ACAN, ACKR2, ADAMDEC1, ADAMTSL2, ADGRA2, ADORA3, ADRA1A, ADRA1D"
1101,220,3,"Skin,Kidney,Lungs",Liver,"ABCD2, ABHD14A, ACSL1, ACTN4, ADAMTS9, ADCY8, ADH1B, AFF2, AGBL2, AIM2"
1001,213,2,"Skin,Lungs","Kidney,Liver","ACAA2, ADAM7-AS1, ADAMTS6, ADAMTS9-AS1, ALPK3, AOX1, APBB1, APLP1, ASRGL1, ASTN2-AS1"
1100,198,2,"Skin,Kidney","Liver,Lungs","ABCB11, ACTA1, ADAP2, ADCY2, AGXT, AHSA2P, AKR7A3, ALDH1L1, ANKRD30A, AOAH"
