Gene,Assigned_Module,kME_Primary,p_kME_Primary,Gene_Trait_r,p_Trait,WGCNA_Selected
COL1A2,brown,0.8276,8.371834474266495e-270,0.3955,2.430638301969967e-41,True
COL3A1,brown,0.782,2.5041540634353747e-221,0.4169,3.405274213754278e-46,True
COL15A1,brown,0.7692,8.968430111632867e-210,0.4439,7.7744306300247145e-53,True
COL1A1,brown,0.7337,3.022737037274836e-181,0.441,4.2684207140230945e-52,True
AEBP1,module_14,0.6755,2.411460639865285e-143,0.1025,0.000787467300747278,True
SERPINE2,brown,0.6628,3.1513425454182258e-136,0.3524,1.317007867081601e-32,True
LTBP2,module_901,0.5542,4.222016405333169e-87,0.2777,2.1856079304311363e-20,True
MFAP4,module_14,0.4903,9.927025576957243e-66,0.0111,0.7161011501691117,False
PDGFD,module_127,0.4779,4.272578779744104e-62,0.1148,0.0001694702102772041,False
SERPINH1,module_72,0.4376,3.197220205377675e-51,0.1301,1.9854250253327345e-05,False
MDK,module_322,0.4367,5.1104673236337464e-51,0.3758,3.4032016132082686e-37,False
FGF14,module_614,0.3886,7.341183427738477e-40,0.2683,4.385410502086852e-19,False
SPARCL1,module_125,0.387,1.6200448137846713e-39,0.0979,0.0013463828269536194,False
CCL2,module_23,0.3628,1.3394591291689073e-34,0.1159,0.00014694315023922378,False
CCL21,module_762,0.3614,2.511989125606868e-34,0.0763,0.012546329894927159,False
SVEP1,module_127,0.3488,6.056896914414971e-32,-0.1515,6.428476954048881e-07,False
CLEC2D,module_367,0.3227,2.5335114898543306e-27,0.1532,4.856425611148699e-07,False
CCL19,turquoise,0.3206,5.5675686736028115e-27,0.184,1.3490018514679358e-09,False
COLEC11,module_489,0.2665,7.625478494681543e-19,0.1145,0.00017501882753264032,False
VWF,module_128,0.2619,3.1644490544380814e-18,-0.0048,0.8754142129728902,False
CCL5,turquoise,0.2537,3.711910270853653e-17,0.1373,6.664602075387568e-06,False
BMP1,module_874,0.1842,1.2893571562230401e-09,-0.0612,0.04536498993895523,False
LAMC3,module_205,-0.1366,7.403378371824574e-06,-0.3039,2.803599248112571e-24,False
SERPINF2,module_1352,-0.2524,5.397874748897631e-17,-0.3168,2.4299647104550507e-26,False
