Module,Module_ID,Gene_Count,Trait_Correlation_r,P_Value,PCA_Var_Explained,ECM_Genes_Count,ECM_Genes
brown,802,23,0.3937,6.001863811102633e-41,0.5673,5,"COL15A1, COL1A1, COL1A2, COL3A1, SERPINE2"
blue,1218,32,0.1775,5.149663490012672e-09,0.5267,0,
magenta,698,12,0.1473,1.327826437144046e-06,0.5499,0,
green,144,17,0.1439,2.3239289585242385e-06,0.5666,0,
pink,222,13,0.0926,0.00243648448165731,0.6275,0,
turquoise,205,37,0.0804,0.008578782597504449,0.5395,2,"CCL19, CCL5"
yellow,195,21,-0.0249,0.4158068324318829,0.5696,0,
red,192,16,-0.0309,0.31289792825466556,0.5891,0,
black,477,15,-0.0485,0.11323084097543175,0.5749,0,
purple,190,11,-0.188,5.883456658430831e-10,0.5889,0,
