gene,organ,rho_pooled,p_pooled,rho_dataset1_only,p_dataset1_only,n_dataset1,rho_dataset2_only,p_dataset2_only,n_dataset2
AEBP1,Liver,0.451814171058131,7.835261814720127e-05,0.4439399451187166,5.250669440409695e-05,77,,,10
COL15A1,Liver,-0.0006120431641931,0.9957849458315742,-0.0006120431641931233,0.9957849458315742,77,,,10
COL1A1,Liver,0.2827898179623701,0.0185633900380268,0.3644299740612645,0.001120492688088508,77,,,10
COL1A2,Liver,0.2509200685075733,0.0333678571084494,0.3202098554483113,0.004525040323624491,77,,,10
COL3A1,Liver,0.1619796639964393,0.1562128615709281,0.1048541220838128,0.3641176547693257,77,,,10
SPP1,Liver,0.179356467252412,0.1562128615709281,0.17935646725241208,0.11857332482808697,77,,,10
VWF,Liver,0.3761439948503703,0.0011551508158797,0.4065635818871956,0.0002434443272522985,77,,,10
AEBP1,Lung,-0.0982966831744972,0.8545091788012277,0.09622504486493764,0.713335376872282,17,,,10
COL15A1,Lung,-0.0481125224324688,0.8545091788012277,-0.04811252243246882,0.8545091788012277,17,,,10
COL1A1,Lung,-0.0596121820542112,0.8545091788012277,-0.2165063509461097,0.40391424424762085,17,,,10
COL1A2,Lung,-0.1249319134540384,0.8545091788012277,-0.26461887337857853,0.30470715614983274,17,,,10
COL3A1,Lung,-0.0481970833629792,0.8545091788012277,-0.4330127018922194,0.08253070634696204,17,,,10
SPP1,Lung,0.0721687836487032,0.8545091788012277,0.07216878364870323,0.7831218637102924,17,,,10
VWF,Lung,0.1794707183121466,0.8545091788012277,0.12028130608117206,0.645635987089665,17,,,10
